Price,Address,SqFt,Link,ImageURL
"150,000 €","Liqeni i Thatë, Tirana",57 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1058390_WhatsApp_Image_2025-03-18_at_18.44.00_38cc628e.jpg
500 €,"Restorant Durrësi, Tirana",70 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1058328_WhatsApp_Image_2025-03-18_at_6.29.19_PM_3.jpg
"218,000 €","Astiri, Tirana",137 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1058204_WhatsApp_Image_2025-03-18_at_08.35.03_1.jpg
"232,300 €","Astiri, Tirana",158 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1058213_WhatsApp_Image_2025-03-18_at_08.59.25.jpg
"180,000 €","Kopshti Botanik Zoologjik, Tirana",124 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1058135_WhatsApp_Image_2025-03-18_at_16.01.20_1.jpg
"66,200 €","Paskuqan, Tirana",58 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1057428_WhatsApp_Image_2025-03-17_at_19.34.26.jpg
"185,000 €","Ish Parku, Tirana",93 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1057697_9b1853d1-a7ae-4921-a167-672152f08249.jpg
"195,000 €","Hipoteka, Tirana",106 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1057342_WhatsApp_Image_2025-03-17_at_12.33.10_2.jpg
"195,000 €","21 Dhjetori, Tirana",93 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1056382_35721E8E-DF60-409A-8659-903209CFABC2.jpg
"315,000 €","Rruga Medar Shtylla, Tirana",130 m2,https://www.century21albania.com/en/property/4322398/studio-garazh-p-euml-r-shitje-te-liqeni-i-that-euml-ent110763.html,https://crm-cdn.ams3.cdn.digitaloceanspaces.com/c21al/storage/c21al/2025/March/week3/450x337/1057454_per_album_koumna.jpg
